iter	Passed	Remaining
906	3577	366
907	3581	362
908	3584	358
909	3588	354
910	3593	351
911	3597	347
912	3601	343
913	3606	339
914	3610	335
915	3615	331
916	3618	327
917	3622	323
918	3626	319
919	3630	315
920	3633	311
921	3637	307
922	3641	303
923	3645	299
924	3648	295
925	3652	291
926	3656	287
927	3660	283
928	3662	279
929	3666	275
930	3669	271
931	3672	267
932	3676	263
933	3680	260
934	3683	256
935	3687	252
936	3691	248
937	3694	244
938	3697	240
939	3701	236
940	3704	232
941	3708	228
942	3711	224
943	3714	220
944	3717	216
945	3728	212
946	3735	209
947	3742	205
948	3748	201
949	3753	197
950	3760	193
951	3765	189
952	3771	185
953	3776	182
954	3781	178
955	3788	174
956	3792	170
957	3797	166
958	3802	162
959	3809	158
960	3814	154
961	3820	150
962	3825	146
963	3830	143
964	3836	139
965	3841	135
966	3845	131
967	3850	127
968	3855	123
969	3859	119
970	3863	115
971	3868	111
972	3872	107
973	3876	103
974	3880	99
975	3885	95
976	3889	91
977	3893	87
978	3896	83
979	3901	79
980	3906	75
981	3909	71
982	3913	67
983	3918	63
984	3921	59
985	3926	55
986	3929	51
987	3933	47
988	3937	43
989	3941	39
990	3944	35
991	3949	31
992	3953	27
993	3957	23
994	3960	19
995	3965	15
996	3969	11
997	3973	7
998	3976	3
999	3980	0
